date,maxTemp,minTemp,pressure,humidity,visibility,dewPoint,cloudCover,windSpeed,windBearing,icon
2018-05-23 09:21:43.364410,91.36,78.76,1008.52,0.8,2.67,76.87,0.65,3.47,276,partly-cloudy-day
2018-05-22 09:21:43.364410,91.36,78.76,1008.52,0.79,2.6,76.6,0.61,1.86,269,partly-cloudy-day
2018-05-21 09:21:43.364410,89.55,78.76,1008.52,0.79,2.71,75.59,0.48,2.09,261,partly-cloudy-day
2018-05-20 09:21:43.364410,90.46,76.94,1008.53,0.81,2.84,76.95,0.6,1.93,243,fog
2018-05-19 09:21:43.364410,89.62,80.53,1008.53,0.8,2.72,77.31,0.67,2.12,249,partly-cloudy-day
2018-05-18 09:21:43.364410,87.83,79.84,1008.53,0.84,2.65,76.69,0.67,0.88,152,fog
2018-05-17 09:21:43.364410,91.43,77.01,1008.54,0.81,2.54,74.78,0.57,0.91,174,fog
2018-05-16 09:21:43.364410,89.62,76.11,1008.54,0.82,2.37,75.06,0.75,0.75,273,fog
2018-05-15 09:21:43.364410,92.31,77.01,1008.55,0.78,2.84,76.88,0.58,0.66,275,partly-cloudy-day
2018-05-14 09:21:43.364410,88.53,78.56,1008.56,0.82,2.49,75.31,0.72,1.19,295,fog
2018-05-13 09:21:43.364410,88.73,75.2,1008.57,0.84,2.53,75.71,0.81,0.78,280,fog
2018-05-12 09:21:43.364410,91.43,75.2,1008.58,0.83,2.45,75.82,0.81,0.38,261,fog
2018-05-11 09:21:43.364410,92.31,78.83,1008.59,0.8,2.72,75.67,0.62,1.38,158,partly-cloudy-day
2018-05-10 09:21:43.364410,91.43,77.01,1008.6,0.83,2.6,75.3,0.74,1.92,155,fog
2018-05-09 09:21:43.364410,90.53,77.01,1008.61,0.78,2.65,75.17,0.75,0.68,146,partly-cloudy-day
2018-05-08 09:21:43.364410,89.62,77.01,1008.63,0.79,2.89,75.12,0.58,0.41,261,partly-cloudy-day
2018-05-07 09:21:43.364410,91.43,78.67,1008.64,0.76,2.85,75.15,0.57,2.61,242,partly-cloudy-day
2018-05-06 09:21:43.364410,90.53,77.01,1008.66,0.81,2.45,75.04,0.71,1.15,143,fog
2018-05-05 09:21:43.364410,91.43,75.07,1008.68,0.8,2.72,74.98,0.75,1.09,171,fog
2018-05-04 09:21:43.364410,91.43,77.92,1008.7,0.78,2.86,75.16,0.77,1.44,260,partly-cloudy-day
2018-05-03 09:21:43.364410,91.59,76.11,1008.63,0.76,2.98,76.51,0.56,5.79,312,wind
2018-05-02 09:21:43.364410,91.43,77.71,1008.74,0.75,2.78,76.38,0.58,2.35,276,partly-cloudy-day
2018-05-01 09:21:43.364410,92.31,79.71,1008.76,0.73,2.68,75.25,0.63,0.65,295,partly-cloudy-day
2018-04-30 09:21:43.364410,91.43,77.01,1008.78,0.76,2.59,77.18,0.63,3.95,290,fog
2018-04-29 09:21:43.364410,91.94,79.71,1008.76,0.77,2.56,78.49,0.54,4.4,282,wind
2018-04-28 09:21:43.364410,93.2,81.51,1008.75,0.78,2.47,78.06,0.6,9.56,145,wind
2018-04-27 09:21:43.364410,94.27,79.71,1008.61,0.78,2.46,75.96,0.62,5.08,146,wind
2018-04-26 09:21:43.364410,92.28,77.67,1008.65,0.76,2.59,75.75,0.52,3.25,147,wind
2018-04-25 09:21:43.364410,91.24,79.26,1008.75,0.76,2.43,75.87,0.73,9.41,128,wind
2018-04-24 09:21:43.364410,91.57,75.87,1008.87,0.79,2.43,76.29,0.66,3.33,44,wind
2018-04-23 09:21:43.364410,93.19,79.23,1008.77,0.77,2.92,77.32,0.47,4.02,286,wind
2018-04-22 09:21:43.364410,91.46,79.41,1008.9,0.78,2.58,76.93,0.63,1.16,174,fog
2018-04-21 09:21:43.364410,95.27,79.52,1008.37,0.76,2.67,76.41,0.54,0.91,170,partly-cloudy-day
2018-04-20 09:21:43.364410,92.83,80.6,1008.84,0.77,2.66,77.71,0.48,1.85,273,fog
2018-04-19 09:21:43.364410,90.83,79.71,1008.93,0.8,2.72,77.31,0.59,1.63,251,partly-cloudy-day
2018-04-18 09:21:43.364410,90.88,70.25,1009.19,0.83,2.45,77.38,0.66,2.11,285,fog
2018-04-17 09:21:43.364410,89.72,77.09,1009.15,0.83,2.38,76.77,0.69,1.42,322,fog
2018-04-16 09:21:43.364410,92.35,75.67,1009.16,0.82,2.67,76.36,0.59,0.83,291,fog
2018-04-15 09:21:43.364410,90.38,78.78,1008.95,0.84,2.58,75.81,0.66,0.42,233,partly-cloudy-day
2018-04-14 09:21:43.364410,90.53,75.6,1009.08,0.81,3.06,75.0,0.69,1.44,222,partly-cloudy-day
2018-04-13 09:21:43.364410,91.18,75.89,1008.88,0.78,2.64,74.7,0.69,1.51,250,fog
2018-04-12 09:21:43.364410,92.31,78.87,1009.07,0.75,2.58,75.12,0.62,2.23,235,fog
2018-04-11 09:21:43.364410,91.43,78.83,1009.36,0.8,2.62,75.31,0.67,0.62,276,fog
2018-04-10 09:21:43.364410,94.11,75.2,1009.31,0.73,2.67,75.9,0.42,2.24,251,partly-cloudy-day
2018-04-09 09:21:43.364410,94.11,79.44,1009.46,0.72,2.93,74.41,0.37,1.52,257,partly-cloudy-day
2018-04-08 09:21:43.364410,94.11,77.01,1009.5,0.75,2.55,74.62,0.47,1.09,262,fog
2018-04-07 09:21:43.364410,95.02,77.92,1009.54,0.76,2.52,76.49,0.55,1.08,261,fog
2018-04-06 09:21:43.364410,93.19,80.6,1009.58,0.74,2.6,76.56,0.59,2.62,263,fog
2018-04-05 09:21:43.364410,93.19,80.92,1009.62,0.74,2.53,77.03,0.4,2.7,268,fog
2018-04-04 09:21:43.364410,92.31,80.92,1009.51,0.73,2.98,75.2,0.42,1.95,291,partly-cloudy-day
2018-04-03 09:21:43.364410,92.31,77.92,1009.47,0.71,2.59,74.21,0.41,2.14,259,fog
2018-04-02 09:21:43.364410,92.42,79.1,1009.39,0.73,2.58,73.78,0.36,1.27,220,fog
2018-04-01 09:21:43.364410,91.83,76.11,1008.65,0.75,2.65,74.59,0.49,0.74,241,partly-cloudy-day
2018-03-31 09:21:43.364410,89.95,79.44,1009.22,0.73,2.54,74.62,0.49,4.18,272,fog
2018-03-30 09:21:43.364410,92.31,79.61,1009.82,0.75,2.64,75.98,0.47,2.61,277,fog
2018-03-29 09:21:43.364410,91.43,79.71,1009.92,0.74,2.62,76.51,0.53,3.9,277,fog
2018-03-28 09:21:43.364410,92.31,80.52,1009.96,0.73,2.6,76.2,0.48,3.6,260,fog
2018-03-27 09:21:43.364410,94.11,80.6,1010.0,0.73,2.54,76.02,0.45,2.73,259,fog
2018-03-26 09:21:43.364410,91.43,79.71,1010.05,0.74,2.43,75.52,0.43,2.44,254,fog
